を変える場合には、生徒や家族と一緒に考えて	宮崎県教育委員会人権同和教育課は「この通知をきっかけに、校則全般の見直しを生徒や保護者の意見も参考にして積極的に推進してもらいたい」としています。	1
なくなったりします。東京都の品川区役所に来	現時点で経済活動に利用することは検討していない」としています。	1
ていて、まだ少なくなってい	さらに、20世紀に最も大きな被害をもたらしたインフルエンザのパンデミックは、1918年から19年にかけて大流行した「スペインかぜ」で、世界で少なくとも5000万人が亡くなったと推計されています。	1
誰かに話さなくても、ビデオを撮って言いたいことを全部言うと答えた人もいました。日記などに気持ちを書くという人もいました	グループではアンケートに参加した子どもたちからストレスを感じたときの対処法についても聞き取り「こどもが考えた気持ちを楽にする23のくふう」としてまとめ、公表しています。	1
８１人増えました。東京都が、入院している人の数	197人のうち、20代と30代は合わせて110人で、およそ56%を占めています。	1
奄美大島と徳之島、沖縄県の沖縄本島と西表島の4つの	沖縄県内では、候補地となっている、国頭村など県内4か所で、ユネスコ=国連教育科学文化機関の世界遺産委員会の審議の様子をオンラインで見守りました。	1
電話などで予約します。厚生労働省は「サイトにはいろいろな情報が出ているので、ワクチンを受ける前に読んでください」と言っています。「コロナワクチンナビ」　https://v-sys.mhlw.	学会によりますと動画では当初、注射をする際に「接種する側の手を腰に当てる」などと解説していましたが、動画を見た医師からこの方法では腕の神経を傷つけるおそれがあるのではという指摘があり、ワクチンで行われる「筋肉注射」では腕を下ろした状態で接種する方が安全だとして動画を撮影し直し改めて公開しています。	1
かわいかったです」と話していました	まもなく4歳になるメスのジャイアントパンダ「シャンシャン」も愛くるしい姿を見せていました。	1
家から出ないように言いました。２人は人権を守る活動をしてい	また、関係者によりますと、民主化などを訴えてきた複数の活動家も9日から自宅で軟禁状態に置かれているということです。	1
遅くなる心配があります。このため文部科学省は、学校が調査をし	また学年閉鎖は、複数の学級を閉鎖するなど学年で感染が広がっている可能性が高い場合に実施し、学校全体での臨時休校は、複数の学年閉鎖などが発生した場合に実施するとしています。	1
新しい年の仕事が始まった４日の午前、菅総理大臣は記者たち	新型コロナウイルス対策で、菅総理大臣は、東京、埼玉、千葉、神奈川の1都3県を対象に特別措置法に基づく緊急事態宣言を発出することを検討する考えを表明しました。	1
